Date,Packdiff
17.12.2021 11:21:15,0
17.12.2021 11:21:16,159
17.12.2021 11:21:17,159
17.12.2021 11:21:18,318
17.12.2021 11:21:20,318
17.12.2021 11:21:21,318
17.12.2021 11:21:22,477
17.12.2021 11:21:23,477
17.12.2021 11:21:24,477
17.12.2021 11:21:25,477
17.12.2021 11:21:26,477
17.12.2021 11:21:27,477
17.12.2021 11:21:28,1837
17.12.2021 11:21:29,1837
17.12.2021 11:21:31,318
17.12.2021 11:21:32,318
17.12.2021 11:21:33,318
17.12.2021 11:21:34,1189
17.12.2021 11:21:35,1189
17.12.2021 11:21:36,1189
17.12.2021 11:21:37,477
17.12.2021 11:21:38,477
17.12.2021 11:21:39,477
17.12.2021 11:21:40,477
17.12.2021 11:21:42,477
17.12.2021 11:21:43,318
17.12.2021 11:21:44,318
17.12.2021 11:21:45,318
17.12.2021 11:21:46,477
17.12.2021 11:21:47,477
17.12.2021 11:21:48,477
17.12.2021 11:21:49,477
17.12.2021 11:21:50,477
17.12.2021 11:21:51,477
17.12.2021 11:21:53,477
17.12.2021 11:21:54,477
17.12.2021 11:21:55,318
17.12.2021 11:21:56,318
17.12.2021 11:21:57,318
17.12.2021 11:21:58,477
17.12.2021 11:21:59,477
17.12.2021 11:22:00,477
17.12.2021 11:22:01,477
17.12.2021 11:22:02,477
17.12.2021 11:22:03,477
17.12.2021 11:22:05,477
17.12.2021 11:22:06,477
17.12.2021 11:22:07,318
17.12.2021 11:22:08,318
17.12.2021 11:22:09,318
17.12.2021 11:22:10,477
17.12.2021 11:22:11,477
17.12.2021 11:22:12,477
17.12.2021 11:22:13,477
17.12.2021 11:22:14,477
17.12.2021 11:22:16,318
17.12.2021 11:22:17,318
17.12.2021 11:22:18,318
17.12.2021 11:22:19,477
17.12.2021 11:22:20,477
17.12.2021 11:22:21,477
17.12.2021 11:22:22,477
17.12.2021 11:22:23,477
17.12.2021 11:22:25,318
17.12.2021 11:22:26,318
17.12.2021 11:22:27,318
17.12.2021 11:22:28,477
17.12.2021 11:22:29,477
17.12.2021 11:22:30,477
17.12.2021 11:22:31,477
17.12.2021 11:22:32,477
17.12.2021 11:22:33,477
17.12.2021 11:22:34,477
17.12.2021 11:22:35,477
17.12.2021 11:22:37,318
17.12.2021 11:22:38,318
17.12.2021 11:22:39,318
17.12.2021 11:22:40,477
17.12.2021 11:22:41,477
17.12.2021 11:22:42,477
17.12.2021 11:22:43,477
17.12.2021 11:22:44,477
17.12.2021 11:22:45,477
17.12.2021 11:22:46,477
17.12.2021 11:22:47,477
17.12.2021 11:22:49,318
17.12.2021 11:22:50,318
17.12.2021 11:22:51,318
17.12.2021 11:22:52,477
17.12.2021 11:22:53,477
17.12.2021 11:22:54,477
17.12.2021 11:22:55,477
17.12.2021 11:22:56,477
17.12.2021 11:22:57,477
17.12.2021 11:22:58,477
17.12.2021 11:23:00,477
17.12.2021 11:23:01,318
17.12.2021 11:23:02,318
17.12.2021 11:23:03,318
17.12.2021 11:23:04,477
17.12.2021 11:23:05,477
17.12.2021 11:23:06,477
17.12.2021 11:23:07,477
17.12.2021 11:23:08,477
17.12.2021 11:23:09,477
17.12.2021 11:23:10,477
17.12.2021 11:23:12,477
17.12.2021 11:23:13,318
17.12.2021 11:23:14,318
17.12.2021 11:23:15,318
17.12.2021 11:23:16,477
17.12.2021 11:23:17,477
17.12.2021 11:23:18,477
17.12.2021 11:23:19,477
17.12.2021 11:23:20,477
17.12.2021 11:23:21,477
17.12.2021 11:23:23,477
17.12.2021 11:23:24,477
17.12.2021 11:23:25,318
17.12.2021 11:23:26,318
17.12.2021 11:23:27,318
17.12.2021 11:23:28,477
17.12.2021 11:23:29,477
17.12.2021 11:23:30,477
17.12.2021 11:23:31,477
17.12.2021 11:23:32,477
17.12.2021 11:23:34,318
17.12.2021 11:23:35,318
17.12.2021 11:23:36,318
17.12.2021 11:23:37,477
17.12.2021 11:23:38,477
17.12.2021 11:23:39,477
17.12.2021 11:23:40,477
17.12.2021 11:23:41,477
17.12.2021 11:23:42,477
17.12.2021 11:23:44,649
17.12.2021 11:23:45,649
17.12.2021 11:23:46,318
17.12.2021 11:23:47,318
17.12.2021 11:23:48,318
17.12.2021 11:23:49,477
17.12.2021 11:23:50,477
17.12.2021 11:23:51,477
17.12.2021 11:23:52,477
17.12.2021 11:23:54,477
17.12.2021 11:23:55,318
17.12.2021 11:23:56,318
17.12.2021 11:23:57,318
17.12.2021 11:23:58,477
17.12.2021 11:23:59,477
17.12.2021 11:24:00,477
17.12.2021 11:24:01,477
17.12.2021 11:24:02,477
17.12.2021 11:24:03,477
17.12.2021 11:24:04,477
17.12.2021 11:24:06,477
17.12.2021 11:24:07,318
17.12.2021 11:24:08,318
17.12.2021 11:24:09,318
17.12.2021 11:24:10,477
17.12.2021 11:24:11,477
17.12.2021 11:24:12,477
17.12.2021 11:24:13,477
17.12.2021 11:24:14,477
17.12.2021 11:24:15,477
17.12.2021 11:24:17,477
17.12.2021 11:24:18,477
17.12.2021 11:24:19,1158
17.12.2021 11:24:20,1158
17.12.2021 11:24:21,1158
17.12.2021 11:24:22,917
17.12.2021 11:24:23,917
17.12.2021 11:24:24,917
17.12.2021 11:24:25,477
17.12.2021 11:24:26,477
17.12.2021 11:24:27,477
17.12.2021 11:24:29,477
17.12.2021 11:24:30,477
17.12.2021 11:24:31,318
17.12.2021 11:24:32,318
17.12.2021 11:24:33,318
17.12.2021 11:24:34,477
17.12.2021 11:24:35,477
17.12.2021 11:24:36,477
17.12.2021 11:24:37,477
17.12.2021 11:24:38,477
17.12.2021 11:24:39,477
17.12.2021 11:24:41,477
17.12.2021 11:24:42,477
17.12.2021 11:24:43,318
17.12.2021 11:24:44,318
17.12.2021 11:24:45,318
17.12.2021 11:24:46,1085
17.12.2021 11:24:47,1085
17.12.2021 11:24:48,1085
17.12.2021 11:24:49,477
17.12.2021 11:24:50,477
17.12.2021 11:24:52,318
17.12.2021 11:24:53,318
17.12.2021 11:24:54,318
17.12.2021 11:24:55,477
17.12.2021 11:24:56,477
17.12.2021 11:24:57,477
17.12.2021 11:24:58,477
17.12.2021 11:24:59,477
17.12.2021 11:25:00,477
17.12.2021 11:25:02,477
17.12.2021 11:25:03,477
17.12.2021 11:25:04,318
17.12.2021 11:25:05,318
17.12.2021 11:25:06,318
17.12.2021 11:25:07,477
17.12.2021 11:25:08,477
17.12.2021 11:25:09,477
17.12.2021 11:25:10,477
17.12.2021 11:25:11,477
17.12.2021 11:25:13,477
17.12.2021 11:25:14,865
17.12.2021 11:25:15,865
17.12.2021 11:25:16,318
17.12.2021 11:25:17,318
17.12.2021 11:25:18,318
17.12.2021 11:25:19,477
17.12.2021 11:25:20,477
17.12.2021 11:25:21,477
17.12.2021 11:25:22,477
17.12.2021 11:25:23,477
17.12.2021 11:25:25,318
17.12.2021 11:25:26,318
17.12.2021 11:25:27,318
17.12.2021 11:25:28,477
17.12.2021 11:25:29,477
17.12.2021 11:25:30,477
17.12.2021 11:25:31,477
17.12.2021 11:25:32,477
17.12.2021 11:25:33,477
17.12.2021 11:25:34,477
17.12.2021 11:25:36,477
17.12.2021 11:25:37,318
17.12.2021 11:25:38,318
17.12.2021 11:25:39,318
17.12.2021 11:25:40,477
17.12.2021 11:25:41,477
17.12.2021 11:25:42,477
17.12.2021 11:25:43,477
17.12.2021 11:25:44,477
17.12.2021 11:25:45,477
17.12.2021 11:25:47,477
17.12.2021 11:25:48,477
17.12.2021 11:25:49,318
17.12.2021 11:25:50,318
17.12.2021 11:25:51,318
17.12.2021 11:25:52,477
17.12.2021 11:25:53,477
17.12.2021 11:25:54,477
17.12.2021 11:25:55,477
17.12.2021 11:25:56,477
17.12.2021 11:25:57,477
17.12.2021 11:25:58,477
17.12.2021 11:26:00,477
17.12.2021 11:26:01,318
17.12.2021 11:26:02,318
17.12.2021 11:26:03,318
17.12.2021 11:26:04,477
17.12.2021 11:26:05,477
17.12.2021 11:26:06,477
17.12.2021 11:26:07,477
17.12.2021 11:26:08,477
17.12.2021 11:26:09,477
17.12.2021 11:26:11,477
17.12.2021 11:26:12,477
17.12.2021 11:26:13,318
17.12.2021 11:26:14,318
17.12.2021 11:26:15,318
17.12.2021 11:26:16,477
17.12.2021 11:26:17,477
17.12.2021 11:26:18,477
17.12.2021 11:26:19,477
17.12.2021 11:26:20,477
17.12.2021 11:26:22,477
17.12.2021 11:26:23,477
17.12.2021 11:26:24,477
17.12.2021 11:26:25,318
17.12.2021 11:26:26,318
17.12.2021 11:26:27,318
17.12.2021 11:26:28,477
17.12.2021 11:26:29,477
17.12.2021 11:26:30,477
17.12.2021 11:26:32,477
17.12.2021 11:26:33,477
17.12.2021 11:26:34,318
17.12.2021 11:26:35,318
17.12.2021 11:26:36,318
17.12.2021 11:26:37,477
17.12.2021 11:26:38,477
17.12.2021 11:26:39,477
17.12.2021 11:26:40,477
17.12.2021 11:26:41,477
17.12.2021 11:26:42,477
17.12.2021 11:26:44,477
17.12.2021 11:26:45,477
17.12.2021 11:26:46,318
17.12.2021 11:26:47,318
17.12.2021 11:26:48,318
17.12.2021 11:26:49,477
17.12.2021 11:26:50,477
17.12.2021 11:26:51,477
17.12.2021 11:26:52,477
17.12.2021 11:26:53,477
17.12.2021 11:26:55,477
17.12.2021 11:26:56,477
17.12.2021 11:26:57,477
17.12.2021 11:26:58,318
17.12.2021 11:26:59,318
17.12.2021 11:27:00,318
17.12.2021 11:27:01,477
17.12.2021 11:27:02,477
17.12.2021 11:27:03,477
17.12.2021 11:27:04,477
17.12.2021 11:27:05,477
17.12.2021 11:27:07,477
17.12.2021 11:27:08,477
17.12.2021 11:27:09,477
17.12.2021 11:27:10,318
17.12.2021 11:27:11,318
17.12.2021 11:27:12,318
17.12.2021 11:27:13,477
17.12.2021 11:27:14,477
17.12.2021 11:27:15,477
17.12.2021 11:27:16,477
17.12.2021 11:27:17,477
17.12.2021 11:27:19,477
17.12.2021 11:27:20,477
17.12.2021 11:27:21,477
17.12.2021 11:27:22,318
17.12.2021 11:27:23,318
17.12.2021 11:27:24,318
17.12.2021 11:27:25,477
17.12.2021 11:27:26,477
17.12.2021 11:27:27,477
17.12.2021 11:27:29,477
17.12.2021 11:27:30,477
17.12.2021 11:27:31,318
17.12.2021 11:27:32,318
17.12.2021 11:27:33,318
17.12.2021 11:27:34,477
17.12.2021 11:27:35,477
17.12.2021 11:27:36,477
17.12.2021 11:27:37,477
17.12.2021 11:27:38,477
17.12.2021 11:27:39,477
17.12.2021 11:27:41,477
17.12.2021 11:27:42,477
17.12.2021 11:27:43,318
17.12.2021 11:27:44,318
17.12.2021 11:27:45,318
17.12.2021 11:27:46,477
17.12.2021 11:27:47,477
17.12.2021 11:27:48,477
17.12.2021 11:27:49,477
17.12.2021 11:27:50,477
17.12.2021 11:27:52,477
17.12.2021 11:27:53,477
17.12.2021 11:27:54,477
17.12.2021 11:27:55,318
17.12.2021 11:27:56,318
17.12.2021 11:27:57,318
17.12.2021 11:27:58,477
17.12.2021 11:27:59,477
17.12.2021 11:28:00,477
17.12.2021 11:28:01,477
17.12.2021 11:28:02,477
17.12.2021 11:28:04,477
17.12.2021 11:28:05,477
17.12.2021 11:28:06,477
17.12.2021 11:28:07,318
17.12.2021 11:28:08,318
17.12.2021 11:28:09,318
17.12.2021 11:28:10,477
17.12.2021 11:28:11,477
17.12.2021 11:28:12,477
17.12.2021 11:28:13,477
17.12.2021 11:28:14,477
17.12.2021 11:28:16,477
17.12.2021 11:28:17,477
17.12.2021 11:28:18,477
17.12.2021 11:28:19,318
17.12.2021 11:28:20,318
17.12.2021 11:28:21,318
17.12.2021 11:28:22,477
17.12.2021 11:28:23,477
17.12.2021 11:28:24,477
17.12.2021 11:28:25,477
17.12.2021 11:28:26,477
17.12.2021 11:28:27,477
17.12.2021 11:28:29,477
17.12.2021 11:28:30,477
17.12.2021 11:28:31,318
17.12.2021 11:28:32,318
17.12.2021 11:28:33,318
17.12.2021 11:28:34,477
17.12.2021 11:28:35,477
17.12.2021 11:28:36,477
17.12.2021 11:28:37,477
17.12.2021 11:28:38,477
17.12.2021 11:28:39,477
17.12.2021 11:28:40,477
17.12.2021 11:28:42,477
17.12.2021 11:28:43,490
17.12.2021 11:28:44,490
17.12.2021 11:28:45,490
17.12.2021 11:28:46,477
17.12.2021 11:28:47,477
17.12.2021 11:28:48,477
17.12.2021 11:28:49,477
17.12.2021 11:28:50,477
17.12.2021 11:28:51,477
17.12.2021 11:28:52,477
17.12.2021 11:28:54,477
17.12.2021 11:28:55,477
17.12.2021 11:28:56,477
17.12.2021 11:28:57,477
17.12.2021 11:28:58,318
17.12.2021 11:28:59,318
17.12.2021 11:29:00,318
17.12.2021 11:29:01,477
17.12.2021 11:29:02,477
17.12.2021 11:29:03,477
17.12.2021 11:29:05,983
17.12.2021 11:29:06,983
17.12.2021 11:29:07,1896
17.12.2021 11:29:08,1896
17.12.2021 11:29:09,1896
17.12.2021 11:29:10,1885
17.12.2021 11:29:11,1885
17.12.2021 11:29:12,1885
17.12.2021 11:29:14,477
17.12.2021 11:29:15,477
17.12.2021 11:29:16,318
17.12.2021 11:29:17,318
17.12.2021 11:29:18,318
17.12.2021 11:29:19,477
17.12.2021 11:29:20,477
17.12.2021 11:29:21,477
17.12.2021 11:29:22,477
17.12.2021 11:29:23,477
17.12.2021 11:29:24,477
17.12.2021 11:29:26,477
17.12.2021 11:29:27,477
17.12.2021 11:29:28,318
17.12.2021 11:29:29,318
17.12.2021 11:29:30,318
17.12.2021 11:29:31,477
17.12.2021 11:29:32,477
17.12.2021 11:29:33,477
17.12.2021 11:29:34,663
17.12.2021 11:29:35,663
17.12.2021 11:29:37,663
17.12.2021 11:29:38,477
17.12.2021 11:29:39,477
17.12.2021 11:29:40,318
17.12.2021 11:29:41,318
17.12.2021 11:29:42,318
17.12.2021 11:29:43,1923
17.12.2021 11:29:44,1923
17.12.2021 11:29:45,1923
17.12.2021 11:29:46,477
17.12.2021 11:29:47,477
17.12.2021 11:29:49,477
17.12.2021 11:29:50,477
17.12.2021 11:29:51,477
17.12.2021 11:29:52,318
17.12.2021 11:29:53,318
17.12.2021 11:29:54,318
17.12.2021 11:29:55,477
17.12.2021 11:29:56,477
17.12.2021 11:29:57,477
17.12.2021 11:29:58,477
17.12.2021 11:29:59,477
17.12.2021 11:30:01,477
17.12.2021 11:30:02,477
17.12.2021 11:30:03,477
17.12.2021 11:30:04,318
17.12.2021 11:30:05,318
17.12.2021 11:30:06,318
17.12.2021 11:30:07,477
17.12.2021 11:30:08,477
17.12.2021 11:30:09,477
17.12.2021 11:30:11,477
17.12.2021 11:30:12,477
17.12.2021 11:30:13,477
17.12.2021 11:30:14,477
17.12.2021 11:30:15,477
17.12.2021 11:30:16,318
17.12.2021 11:30:17,318
17.12.2021 11:30:18,318
17.12.2021 11:30:19,477
17.12.2021 11:30:20,477
17.12.2021 11:30:21,477
17.12.2021 11:30:22,477
17.12.2021 11:30:24,477
17.12.2021 11:30:25,477
17.12.2021 11:30:26,477
17.12.2021 11:30:27,477
17.12.2021 11:30:28,318
17.12.2021 11:30:29,318
17.12.2021 11:30:30,318
17.12.2021 11:30:31,477
17.12.2021 11:30:32,477
17.12.2021 11:30:33,477
17.12.2021 11:30:35,477
17.12.2021 11:30:36,477
17.12.2021 11:30:37,318
17.12.2021 11:30:38,318
17.12.2021 11:30:39,318
17.12.2021 11:30:40,477
17.12.2021 11:30:41,477
17.12.2021 11:30:42,477
17.12.2021 11:30:43,477
17.12.2021 11:30:44,477
17.12.2021 11:30:45,477
17.12.2021 11:30:46,477
17.12.2021 11:30:48,477
17.12.2021 11:30:49,477
17.12.2021 11:30:50,477
17.12.2021 11:30:51,477
17.12.2021 11:30:52,318
17.12.2021 11:30:53,318
17.12.2021 11:30:54,318
17.12.2021 11:30:55,477
17.12.2021 11:30:57,477
17.12.2021 11:30:58,318
17.12.2021 11:30:59,318
17.12.2021 11:31:00,318
17.12.2021 11:31:01,477
17.12.2021 11:31:02,477
17.12.2021 11:31:03,477
17.12.2021 11:31:05,477
17.12.2021 11:31:06,477
17.12.2021 11:31:07,318
17.12.2021 11:31:08,318
17.12.2021 11:31:09,318
17.12.2021 11:31:10,477
17.12.2021 11:31:11,477
17.12.2021 11:31:13,477
17.12.2021 11:31:14,477
17.12.2021 11:31:15,477
17.12.2021 11:31:16,318
17.12.2021 11:31:17,318
17.12.2021 11:31:18,318
17.12.2021 11:31:19,477
17.12.2021 11:31:20,477
17.12.2021 11:31:21,477
17.12.2021 11:31:22,477
17.12.2021 11:31:23,477
17.12.2021 11:31:25,477
17.12.2021 11:31:26,477
17.12.2021 11:31:27,477
17.12.2021 11:31:28,1678
17.12.2021 11:31:29,1678
17.12.2021 11:31:30,1678
17.12.2021 11:31:31,477
17.12.2021 11:31:32,477
17.12.2021 11:31:33,477
17.12.2021 11:31:34,477
17.12.2021 11:31:35,477
17.12.2021 11:31:37,477
17.12.2021 11:31:38,477
17.12.2021 11:31:39,477
17.12.2021 11:31:40,318
17.12.2021 11:31:41,318
17.12.2021 11:31:42,318
17.12.2021 11:31:43,477
17.12.2021 11:31:44,477
17.12.2021 11:31:45,477
17.12.2021 11:31:47,477
17.12.2021 11:31:48,477
17.12.2021 11:31:49,318
17.12.2021 11:31:50,318
17.12.2021 11:31:51,318
17.12.2021 11:31:52,477
17.12.2021 11:31:53,477
17.12.2021 11:31:54,477
17.12.2021 11:31:55,477
17.12.2021 11:31:57,477
17.12.2021 11:31:58,477
17.12.2021 11:31:59,477
17.12.2021 11:32:00,477
17.12.2021 11:32:01,318
17.12.2021 11:32:02,318
17.12.2021 11:32:03,318
17.12.2021 11:32:04,477
17.12.2021 11:32:05,477
17.12.2021 11:32:06,477
17.12.2021 11:32:07,477
17.12.2021 11:32:09,477
17.12.2021 11:32:10,477
17.12.2021 11:32:11,477
17.12.2021 11:32:12,477
17.12.2021 11:32:13,318
17.12.2021 11:32:14,318
17.12.2021 11:32:15,318
17.12.2021 11:32:16,477
17.12.2021 11:32:17,477
17.12.2021 11:32:18,477
17.12.2021 11:32:19,477
17.12.2021 11:32:21,477
17.12.2021 11:32:22,477
17.12.2021 11:32:23,477
17.12.2021 11:32:24,477
17.12.2021 11:32:25,318
17.12.2021 11:32:26,318
17.12.2021 11:32:27,318
17.12.2021 11:32:28,477
17.12.2021 11:32:29,477
17.12.2021 11:32:30,477
